year,sex,age,edu_1,employed
2021,females,20-24,degree,20000
2021,females,25-29,degree,77200
2021,females,30-34,degree,98800
2021,females,35-39,degree,80900
2021,females,40-44,degree,70400
2021,females,45-49,degree,49800
2021,females,50-54,degree,32200
2021,females,55-59,degree,16900
2021,females,60-64,degree,9400
2021,females,65-69,degree,4400
2021,females,70_and_over,degree,800
